Title,Price,Location,Bedrooms,Link
Hurst Brick Investor Special,"$180,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/hurst-hurst-brick-investor-special/7856072586.html
Beautifully renovated contemporary home,"$424,900",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-beautifully-renovated/7856067065.html
"""Spray Foam Insulation, Radiant Barrier, Duct Work - Save $$ on Energy",$0,"Dallas, Plano,Denton,frisco",View the listing for this information,https://dallas.craigslist.org/mdf/reo/d/plano-spray-foam-insulation-radiant/7845858852.html
Shops barns housing,$0,Crandall,View the listing for this information,https://dallas.craigslist.org/dal/reo/d/crandall-shops-barns-housing/7856060650.html
Need a mentor who will actually do something besides take half?,$0,Houston,View the listing for this information,https://dallas.craigslist.org/ftw/reo/d/fort-worth-need-mentor-who-will/7850240095.html
"""Wanna-be"" investors screw themselves. All the info is out there.",$0,fort worth,View the listing for this information,https://dallas.craigslist.org/ftw/reo/d/fort-worth-wanna-be-investors-screw/7845898055.html
LOT AT CEDAR CREEK LAKE,$0,PAYNE SPRINGS,View the listing for this information,https://dallas.craigslist.org/sdf/reo/d/mabank-lot-at-cedar-creek-lake/7846119706.html
RV Lot,$400,"Leonard, Tx",View the listing for this information,https://dallas.craigslist.org/ndf/reo/d/melissa-rv-lot/7849081169.html
Furnished room in Richardson,$700,Richardson,View the listing for this information,https://dallas.craigslist.org/ndf/reo/d/richardson-furnished-room-in-richardson/7856019312.html
Off-market brick 3/2/2 in DeSoto 75115,"$220,000",Desoto,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/desoto-off-market-brick-in-desoto-75115/7856023596.html
Brick 1978 3/2/2 in Arlington - 76015,"$215,000",Arlington,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/arlington-brick-in-arlington/7856020970.html
"3/2/2, brick home with 2 acres in Childress, Texas!","$265,000",Dallas,View the listing for this information,https://dallas.craigslist.org/dal/reo/d/dallas-brick-home-with-acres-in/7851535632.html
"3/2/2, brick home with 2 acres in Childress, Texas!","$265,000",Fort Worth,View the listing for this information,https://dallas.craigslist.org/ftw/reo/d/fort-worth-brick-home-with-acres-in/7851534251.html
2505 Shore line Drive Keller Open House 1-4Pm.  Sunday June 8th,"$829,900",Hidden Lakes - Enclave,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/keller-2505-shore-line-drive-keller/7856010382.html
Toyota Tacoma 2012,$0,Irving tx,View the listing for this information,https://dallas.craigslist.org/dal/reo/d/irving-toyota-tacoma-2012/7855977263.html
"Patio Home- beautiful view of golf course, large deck and hot tub","$379,000",Garland/Oakridge,View the listing for this information,https://dallas.craigslist.org/dal/reo/d/garland-patio-home-beautiful-view-of/7855971277.html
"Will Take Payments / Ready to Assign / Subto Deal / Mineral Wells, TX","$30,000",Mineral Wells,View the listing for this information,https://dallas.craigslist.org/ftw/reo/d/mineral-wells-will-take-payments-ready/7848654004.html
"4/2 Sitting on 2 acres in Decatur, TX","$269,990",Decatur,View the listing for this information,https://dallas.craigslist.org/ndf/reo/d/decatur-2-sitting-on-acres-in-decatur-tx/7851558347.html
"The Clayton Colossal 18x80! Only $104,990!","$104,990",fort worth,View the listing for this information,https://dallas.craigslist.org/ftw/reo/d/springtown-the-clayton-colossal-18x80/7850711332.html
4/2 sitting on 2.12 acres,"$279,000",Poolville,View the listing for this information,https://dallas.craigslist.org/ndf/reo/d/springtown-2-sitting-on-212-acres/7845878143.html
🏡 Spacious 5-Bedroom Home on 1 Acre,"$294,990",Springtown,View the listing for this information,https://dallas.craigslist.org/ftw/reo/d/springtown-spacious-bedroom-home-on-acre/7853504152.html
2023 Quality Storage Building Cabin 12×24,"$20,000",Keene,View the listing for this information,https://dallas.craigslist.org/sdf/reo/d/keene-2023-quality-storage-building/7845764074.html
Owner Finance -No Banks Required- Dueno a Dueno,"$515,000",Fort Worth,View the listing for this information,https://dallas.craigslist.org/ftw/reo/d/crowley-owner-finance-no-banks-required/7854415754.html
0.18-acre lot ready for your future plans,"$6,300","Woodville, TX",View the listing for this information,https://dallas.craigslist.org/dal/reo/d/woodville-018-acre-lot-ready-for-your/7847047557.html
*Meticulously maintained 4beds+3bath home in Heritage Subdivision*,"$425,000",N Fort Worth,View the listing for this information,https://dallas.craigslist.org/ftw/reb/d/keller-meticulously-maintained/7855930831.html
Expansive Flex Room,"$475,485","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-expansive-flex-room/7855918337.html
Located Near Park and Trail,"$520,966","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-located-near-park-and-trail/7855917354.html
Oversized Lot,"$464,595","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-oversized-lot/7855916445.html
Flexible Living,"$508,805","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-flexible-living/7855915321.html
Secondary Bedrooms w/Walk in Closets,"$519,575","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-secondary-bedrooms-walk-in/7855914308.html
New Two Story Plan,"$581,568","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-new-two-story-plan/7855913137.html
Memorable First Impression,"$549,999","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-memorable-first-impression/7855309558.html
Wonderfully Sized Bedrooms,"$437,999","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-wonderfully-sized-bedrooms/7855310621.html
Modern Comfort and Style,"$575,000","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-modern-comfort-and-style/7855315999.html
Dedicated Entertainment Room,"$600,000","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-dedicated-entertainment-room/7855317045.html
Elegant Modern Home,"$467,900",Anna TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/anna-elegant-modern-home/7853510823.html
Gourmet Kitchen,"$464,900",Anna TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/anna-gourmet-kitchen/7853509556.html
Discover Refined Living,"$462,900",Anna TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/anna-discover-refined-living/7853508220.html
Private Backyard Oasis,"$397,900",Anna TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/anna-private-backyard-oasis/7853506975.html
No Backyard Neighbors,"$389,825",Anna TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/anna-no-backyard-neighbors/7853505592.html
Open Living Concept,"$278,990",Princeton TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/princeton-open-living-concept/7851468602.html
Spacious and Open,"$299,990",Princeton TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/princeton-spacious-and-open/7851467514.html
Cozy yet Spacious,"$264,990",Princeton TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/princeton-cozy-yet-spacious/7851466242.html
Sure To Turn Heads,"$238,990",Princeton TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/princeton-sure-to-turn-heads/7851465072.html
Golf Course Community,"$365,085","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-golf-course-community/7850751453.html
Featured Home,"$401,135","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-featured-home/7850753027.html
Large Kitchen Island,"$464,135","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-large-kitchen-island/7850755395.html
Sure To Turn Heads,"$360,085","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-sure-to-turn-heads/7850756197.html
Large Game Room,"$468,135","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-large-game-room/7850757146.html
Dedicated Study,"$412,085","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-dedicated-study/7850758323.html
Open Concept Single Story,"$316,820",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-open-concept-single-story/7850818707.html
Spa Like Primary Bathroom,"$326,033",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-spa-like-primary-bathroom/7850819457.html
Upstairs Versatile Loft,"$370,691",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-upstairs-versatile-loft/7850820310.html
Spacious Walk In Closet,"$389,951",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-spacious-walk-in-closet/7850821211.html
Private Study,"$368,223",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-private-study/7850822172.html
Spacious Living Area,"$389,450",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-spacious-living-area/7850822904.html
Second Story Game Room,"$453,619",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-second-story-game-room/7850823944.html
Beautiful Open Layout,"$298,848","Dallas, TX",View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-beautiful-open-layout/7850830611.html
Stunning Kitchen,"$299,000","Dallas, TX",View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-stunning-kitchen/7850831475.html
Impressive Great Room,"$350,000","Dallas, TX",View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-impressive-great-room/7850832460.html
Perefect for Entertaining,"$318,000","Dallas, TX",View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-perefect-for-entertaining/7850833066.html
Spacious 5 Bedroom Town Home,"$624,460",Plano TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/plano-spacious-bedroom-town-home/7850840413.html
Beautifully Designed,"$569,990",Plano TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/plano-beautifully-designed/7850842029.html
Extended Covered Patio,"$480,000","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-extended-covered-patio/7851450694.html
Spacious Bedrooms,"$545,280","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-spacious-bedrooms/7851449368.html
Stunning Home,"$553,440","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-stunning-home/7851448094.html
Large Media Room,"$542,310","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-large-media-room/7851446756.html
Corner Homesite,"$450,300","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-corner-homesite/7851445426.html
Rear Entry Garage,"$430,000","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-rear-entry-garage/7851443714.html
Beautiful Stone Accents,"$412,130","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-beautiful-stone-accents/7851442092.html
Designed To Impress,"$699,000","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-designed-to-impress/7852046620.html
Kitchen Designed for Cooking,"$719,000","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-kitchen-designed-for-cooking/7852047769.html
Crafted For Today's Living,"$739,000","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-crafted-for-todays-living/7852049132.html
Chef's Dream w Large Island,"$769,000","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-chefs-dream-large-island/7852050145.html
First Floor Movie Retreat,"$799,000","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-first-floor-movie-retreat/7852051374.html
Gated Driveway Large Homesite,"$894,658",Frisco TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/frisco-gated-driveway-large-homesite/7851500410.html
Prepare To Be Amazed,"$890,825",Frisco TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/frisco-prepare-to-be-amazed/7851499235.html
North Facing Homesite,"$808,663",Frisco TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/frisco-north-facing-homesite/7851498146.html
Built in Stainless Appliances,"$513,040",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-built-in-stainless-appliances/7852066559.html
Game Room and Media Room,"$655,250",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-game-room-and-media-room/7852068855.html
Spacious Living Areas,"$675,890",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-spacious-living-areas/7852067728.html
Spacious One Story Home,"$622,100",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-spacious-one-story-home/7852069792.html
Spacious 5 Bedroom Home,"$707,940",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-spacious-bedroom-home/7852070635.html
Regal Curb Appeal,"$913,508",Frisco TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/frisco-regal-curb-appeal/7851504736.html
Rare Double Primary Bedrooms,"$896,308",Frisco TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/frisco-rare-double-primary-bedrooms/7851503209.html
Unlock Your Dream Home with Exclusive Offers,"$389,990","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-unlock-your-dream-home-with/7852111014.html
Oversized Homesite No MUD No PID,"$799,000",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-oversized-homesite-no-mud-no/7851731497.html
3 Bed/2 Bath Investment Opportunity in Garland,$0,Garland,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/garland-bed-bath-investment-opportunity/7855905826.html
Perfect for Growing Families,"$699,990",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-perfect-for-growing-families/7851730302.html
New Gated Community/ No MUD No PID,"$679,990",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-new-gated-community-no-mud-no/7851728786.html
No MUD No PID Gated Community,"$559,990",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-no-mud-no-pid-gated-community/7851727058.html
Gated Community/ No MUD/No PID,"$679,990",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-gated-community-no-mud-no-pid/7851725321.html
Spacious Modern Townhome,"$446,314","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-spacious-modern-townhome/7855329583.html
A Haven of Comfort,"$460,438","Celina, TX",View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/celina-haven-of-comfort/7855331483.html
Style and Function,"$394,801",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-style-and-function/7855333143.html
Ample Room To Grow,"$409,772",McKinney TX,View the listing for this information,https://dallas.craigslist.org/ndf/reb/d/mckinney-ample-room-to-grow/7855335156.html
"200 acres of Gorgeous Land  mix  hayfields, food plots and timber","$599,000",Mason,View the listing for this information,https://dallas.craigslist.org/dal/reo/d/brule-200-acres-of-gorgeous-land-mix/7855895836.html
Incredible urban location in the heart of uptown,"$298,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-incredible-urban-location-in-the/7852830181.html
Luxury Creekside Townhomes located in prime location,"$1,485,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-luxury-creekside-townhomes/7852835020.html
"SELLERS OFFERING $15,000 TOWARDS SELLERS CONCESSIONS,","$369,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-sellers-offering-towards-sellers/7852977166.html
"Nestled beneath a canopy of mature trees, t","$775,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-nestled-beneath-canopy-of-mature/7852980140.html
Luxury Creekside Townhomes Gated Community,"$1,575,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-luxury-creekside-townhomes-gated/7852981335.html
Welcome to Unit 203 at 5806 Birchbrook,"$318,900",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-welcome-to-unit-203-at-5806/7852980734.html
"Five bedrooms, pool and walking distance to Saint Rita and Jesuit.","$899,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-five-bedrooms-pool-and-walking/7852993591.html
Located steps from University Park Elementary,"$3,399,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-located-steps-from-university/7849105364.html
"Check out this charming 3 bedroom, 2 bath home,","$279,900",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-check-out-this-charming-bedroom/7846127543.html
The Flagship of the President’s House. An unparalleled location,"$1,750,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-the-flagship-of-the-presidents/7848287885.html
Pickleball Court? Mother-In-Law Suite?,"$345,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-pickleball-court-mother-in-law/7845888723.html
Wonderful zero lot line home in fabulous location!,"$1,089,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-wonderful-zero-lot-line-home-in/7845841999.html
"Welcome to 7335 Royal Circle, a stunning multi-level home boasting tim","$1,450,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-welcome-to-7335-royal-circle/7848285076.html
"Well-maintained 3-bedroom, 1.5-bath home","$220,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-well-maintained-bedroom-15-bath/7848586203.html
"This 2 bed, 3 bath condo offers an open floor plan","$565,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-this-bed-bath-condo-offers-an/7848562540.html
Move-in ready ground floor condo with private,"$235,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-move-in-ready-ground-floor-condo/7849711391.html
Fabulous updated condo in Prime Lower Greenville location.,"$619,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-fabulous-updated-condo-in-prime/7848286108.html
Prime city living at its best! Less than 15 miles from Downtown Dallas,"$755,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-prime-city-living-at-its-best/7848284106.html
Great investment opportunity in the desirable,"$200,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-great-investment-opportunity-in/7851681414.html
Welcome to 4719 Wateka Drive in Dallas!,"$825,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-welcome-to-4719-wateka-drive-in/7849542103.html
Great investment property!!!!,"$275,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-great-investment-property/7849901945.html
Beautiful Villa de Royale condo in North Dallas,"$130,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-beautiful-villa-de-royale-condo/7850649605.html
Stunning updated 3 bedrooms,"$935,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-stunning-updated-bedrooms/7849918579.html
This distinctive craftsman-style home,"$175,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-this-distinctive-craftsman-style/7851578358.html
Stunning contemporary nestled in a small 53 unit urban home,"$485,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-stunning-contemporary-nestled-in/7852748537.html
Luxury Creekside Townhomes Gated,"$1,575,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-luxury-creekside-townhomes-gated/7852763017.html
This is the home you have been looking,"$1,025,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-this-is-the-home-you-have-been/7852827287.html
Luxury Creekside Townhomes,"$1,525,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-luxury-creekside-townhomes/7852981655.html
This is the home you have been looking f,"$1,025,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-this-is-the-home-you-have-been/7852981120.html
"Five bedrooms, pool and walking distance","$899,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-five-bedrooms-pool-and-walking/7852995490.html
Great location with close proximity to shopping,"$499,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-great-location-with-close/7852997942.html
"502 Western Hills Trail - 4B, 2B, Large Yard","$395,000",Granbury,View the listing for this information,https://dallas.craigslist.org/sdf/reb/d/granbury-502-western-hills-trail-4b-2b/7845919449.html
"For Sale - 5540 Boca Raton Blvd #181 - 1B, 1.5 Condo","$100,000",Woodhaven Condominiums,View the listing for this information,https://dallas.craigslist.org/ftw/reb/d/fort-worth-for-sale-boca-raton-blvd-15/7848659337.html
Incredible urban location in the heart of uptown,"$298,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-incredible-urban-location-in-the/7852981861.html
"For Sale - 128 Valley Vw - 4B, 3.5B, Office, Views","$590,000","Tuscan Village, Glen Rose",View the listing for this information,https://dallas.craigslist.org/sdf/reb/d/glen-rose-for-sale-valley-vw-4b-35b/7852298995.html
"215 Camelot Street - 4B, 2B, 2400 SQFT","$390,000",Glen Rose,View the listing for this information,https://dallas.craigslist.org/sdf/reb/d/glen-rose-215-camelot-street-4b-2b-2400/7845920634.html
"Investors and DIY'ers, come take a look at this great deal!","$160,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-investors-and-diyers-come-take/7853196416.html
MAKE IT YOUR OWN! Nicely-maintained brick traditional,"$435,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-make-it-your-own-nicely/7853198729.html
"Excellent value! Affordable home in good condition,","$219,900",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-excellent-value-affordable-home/7849550349.html
Welcome to 3742 Rockdale Dr,"$699,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-welcome-to-3742-rockdale-dr/7849144427.html
Live in Far North Dallas and the highly sought-after,"$575,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-live-in-far-north-dallas-and-the/7849103217.html
Start creating memories in this beautiful 5,"$3,199,000",mid cities,View the listing for this information,https://dallas.craigslist.org/mdf/reb/d/dallas-start-creating-memories-in-this/7849102534.html
"Welcome to 7335 Royal Circle, a stunning multi-level home","$1,450,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-welcome-to-7335-royal-circle/7847242028.html
Pickleball Court? Mother-In-Law Suite? Pool? Yard left over?,"$345,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-pickleball-court-mother-in-law/7845842504.html
Beautiful mid-century home in Dallas,"$259,900",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-beautiful-mid-century-home-in/7849899806.html
If you're looking for a new construction home,"$309,900",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-if-youre-looking-for-new/7850106749.html
Great investment property in Whitesboro,"$150,000",Whitesboro,View the listing for this information,https://dallas.craigslist.org/dal/reo/d/whitesboro-great-investment-property-in/7855874394.html
"1.5 Acre of Unrestricted Land in Liberty, TX – Hunt, Ride, Relax",$0,dallas,View the listing for this information,https://dallas.craigslist.org/dal/reo/d/dallas-15-acre-of-unrestricted-land-in/7851684026.html
"OPEN HOUSE: Sunday, June 8th 1-3pm","$1,100,000",Dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-open-house-sunday-june-8th-3pm/7854342216.html
"🔥 Hot Off-Market Deal – McKinney, TX 75072",$0,dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/mckinney-hot-off-market-deal-mckinney/7855844608.html
Prime city living at its best! Less than 15 miles,"$875,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-prime-city-living-at-its-best/7848204881.html
One story home with 2 car garage,"$425,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-one-story-home-with-car-garage/7848204051.html
Prime city living at its best!,"$755,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-prime-city-living-at-its-best/7847241293.html
Single story home in Mesquite ISD,"$327,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-single-story-home-in-mesquite-isd/7850103366.html
Stylish Dallas Craftsman with historic charm and modern updates,"$599,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-stylish-dallas-craftsman-with/7849708759.html
"Situated in the peaceful Los Palacios Estates,","$299,999",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-situated-in-the-peaceful-los/7845900609.html
ALL UPDATED AND MOVE-IN READY! SHOWS GREAT!,"$225,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-all-updated-and-move-in-ready/7849900958.html
"Situated on a large 90X110 corner lot,","$515,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-situated-on-large-90x110-corner/7849902934.html
Welcome to your new home that is walking distance,"$919,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-welcome-to-your-new-home-that-is/7849903667.html
"Welcome to our modern 1 bedroom, 1.5 bathroom","$95,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-welcome-to-our-modern-bedroom-15/7849543567.html
Experience the style and low-maintenance,"$195,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-experience-the-style-and-low/7850652424.html
Welcome to 7340 Skillman Street #1109 –,"$155,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-welcome-to-7340-skillman-street/7852738724.html
Your search for easy living ends here! This cute condominium,"$131,900",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-your-search-for-easy-living-ends/7854522444.html
Very nice Spacious condo in gated community,"$119,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-very-nice-spacious-condo-in/7854523525.html
"Discover this charming one story, 3 bedroom, 2 bathroom","$530,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-discover-this-charming-one-story/7854519584.html
BEHIND THE PINK WALL! Stylish 2-Bedroom,"$325,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-behind-the-pink-wall-stylish/7854520799.html
MAKE IT YOUR OWN!,"$435,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-make-it-your-own/7854520576.html
"Investors and DIY'ers, come take a look at this great deal!","$160,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-investors-and-diyers-come-take/7854520151.html
Welcome to 6707 Meadow Rd.,"$2,600,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-welcome-to-6707-meadow-rd/7852740054.html
"Completely updated single story home in the heart of Dallas proper,","$1,300,000",dallas,View the listing for this information,https://dallas.craigslist.org/dal/reb/d/dallas-completely-updated-single-story/7849910541.html
